Age Range,Gender,Location,Language,Interest,Device Type,Online Purchase Behavior,Ad Engagement (Clicks/Views),Time Spent on Platform (mins),Page Likes,Ad Impressions,Recent Ad Interaction,Ad Placement,Ad Format,Lookalike Score
55+,Male,New York,Hindi,Technology,Tablet,Rare,19,97.4,9,27,Viewed,Stories,Image,0.27
25-34,Female,Florida,Chinese,Gaming,Desktop,Frequent,22,74.2,8,47,Clicked,Messenger,Carousel,0.11
55+,Male,Texas,Spanish,Fitness,Desktop,Frequent,58,2.9,10,8,Clicked,Stories,Image,0.82
25-34,Male,Texas,Chinese,Travel,Tablet,Rare,41,3.1,16,16,Clicked,Messenger,Video,0.53
18-24,Female,California,Chinese,Fitness,Mobile,Rare,40,18.6,12,12,Viewed,Feed,Carousel,0.18
18-24,Female,Florida,Hindi,Food,Tablet,Frequent,41,35.2,8,17,Viewed,Messenger,Image,0.11
45-54,Female,New York,French,Gaming,Desktop,Frequent,3,40.1,8,17,Ignored,Stories,Image,0.14
35-44,Male,Illinois,English,Travel,Mobile,Rare,58,60.7,10,45,Ignored,Feed,Carousel,0.52
45-54,Non-binary,Illinois,English,Fitness,Mobile,Rare,57,8.2,7,47,Clicked,Stories,Image,0.77
35-44,Female,New York,Spanish,Fitness,Desktop,Rare,88,11.5,12,34,Ignored,Stories,Video,0.06
18-24,Non-binary,Illinois,Hindi,Gaming,Desktop,Frequent,45,7.8,11,11,Clicked,Feed,Image,0.5
35-44,Female,California,Hindi,Fitness,Mobile,Frequent,28,26.1,11,39,Ignored,Feed,Carousel,0.09
25-34,Male,California,Hindi,Fitness,Desktop,Frequent,24,39.8,17,44,Viewed,Feed,Video,0.81
45-54,Non-binary,Illinois,Hindi,Technology,Tablet,Rare,69,62.6,9,21,Viewed,Stories,Image,0.77
55+,Female,Florida,Spanish,Travel,Tablet,Occasional,45,21.9,5,11,Viewed,Messenger,Carousel,0.46
45-54,Non-binary,California,Chinese,Gaming,Tablet,Rare,48,16.1,8,31,Ignored,Stories,Carousel,0.45
55+,Non-binary,Florida,English,Food,Mobile,Frequent,74,3.9,3,4,Viewed,Stories,Image,0.38
25-34,Female,Florida,English,Food,Desktop,Rare,93,1.7,10,16,Clicked,Stories,Image,0.84
45-54,Non-binary,Florida,Hindi,Fitness,Tablet,Occasional,22,16.9,14,44,Viewed,Stories,Carousel,0.73
25-34,Non-binary,Texas,Spanish,Travel,Tablet,Frequent,12,18.3,8,43,Viewed,Stories,Image,0.02
45-54,Female,New York,English,Technology,Mobile,Rare,12,16.2,12,9,Clicked,Messenger,Image,0.68
18-24,Non-binary,Illinois,French,Travel,Mobile,Frequent,83,0.3,8,19,Viewed,Stories,Video,0.66
18-24,Non-binary,Texas,English,Technology,Desktop,Frequent,9,33.9,9,49,Ignored,Feed,Image,0.66
35-44,Male,Illinois,French,Fitness,Tablet,Frequent,13,23.3,12,17,Clicked,Stories,Video,0.04
18-24,Female,California,Hindi,Food,Mobile,Occasional,78,9.2,9,35,Clicked,Stories,Image,0.53
18-24,Male,Illinois,Hindi,Gaming,Mobile,Frequent,53,60.4,20,48,Ignored,Feed,Image,0.43
45-54,Female,New York,Hindi,Gaming,Desktop,Occasional,38,5.8,10,21,Clicked,Feed,Image,0.51
55+,Female,Illinois,Hindi,Food,Tablet,Rare,34,12.6,10,2,Clicked,Stories,Carousel,0.2
25-34,Female,California,French,Travel,Tablet,Frequent,75,24.5,14,29,Viewed,Feed,Image,0.2
25-34,Non-binary,Florida,French,Food,Tablet,Occasional,33,5.6,12,12,Viewed,Feed,Video,0.96
45-54,Female,California,Spanish,Travel,Tablet,Occasional,83,8.1,12,23,Clicked,Feed,Image,0.89
18-24,Female,Illinois,English,Gaming,Tablet,Occasional,72,108.5,15,7,Ignored,Feed,Video,0.84
18-24,Female,California,English,Food,Mobile,Rare,67,27.5,14,8,Ignored,Stories,Image,0.04
35-44,Non-binary,New York,French,Fitness,Tablet,Occasional,20,3.8,10,12,Clicked,Messenger,Carousel,0.97
55+,Male,Illinois,Hindi,Travel,Mobile,Occasional,43,8.2,7,15,Viewed,Feed,Image,0.58
35-44,Non-binary,Florida,Spanish,Food,Desktop,Rare,90,10.7,12,5,Ignored,Messenger,Image,0.22
45-54,Non-binary,New York,French,Food,Mobile,Frequent,23,16.6,9,34,Ignored,Messenger,Carousel,0.84
18-24,Female,California,English,Travel,Tablet,Frequent,18,62.6,10,36,Ignored,Messenger,Video,0.51
35-44,Male,Illinois,Spanish,Gaming,Desktop,Occasional,68,93.5,13,43,Clicked,Messenger,Carousel,0.4
25-34,Non-binary,Florida,Hindi,Food,Desktop,Occasional,14,19.1,10,49,Ignored,Stories,Video,0.9
35-44,Non-binary,New York,Spanish,Food,Mobile,Frequent,48,0.9,5,6,Clicked,Feed,Image,0.28
35-44,Non-binary,Texas,Hindi,Food,Tablet,Frequent,15,5.9,10,31,Viewed,Stories,Image,0.02
45-54,Male,Illinois,Chinese,Gaming,Desktop,Frequent,58,32.2,11,41,Clicked,Messenger,Video,0.16
55+,Female,California,Hindi,Travel,Mobile,Frequent,51,24.3,13,46,Clicked,Messenger,Video,0.96
45-54,Non-binary,Texas,Hindi,Gaming,Mobile,Frequent,29,46.8,8,27,Clicked,Feed,Image,0.82
25-34,Male,Texas,English,Technology,Desktop,Frequent,74,51.9,11,33,Clicked,Messenger,Video,0.9
55+,Male,California,Spanish,Gaming,Desktop,Frequent,75,1.8,9,30,Ignored,Stories,Image,0.8
25-34,Male,Texas,Spanish,Food,Tablet,Occasional,66,61.2,11,32,Ignored,Feed,Carousel,0.37
25-34,Male,Texas,English,Fitness,Desktop,Frequent,49,3.7,7,18,Ignored,Feed,Image,0.25
55+,Female,Florida,Spanish,Fitness,Desktop,Rare,67,36.4,11,4,Viewed,Stories,Carousel,0.89
55+,Male,Illinois,Chinese,Fitness,Tablet,Occasional,97,4.8,14,2,Viewed,Feed,Video,0.79
55+,Non-binary,Illinois,Hindi,Gaming,Desktop,Occasional,20,2.7,6,49,Clicked,Feed,Video,0.4
18-24,Non-binary,Florida,Hindi,Gaming,Desktop,Rare,93,5.5,7,12,Ignored,Stories,Image,0.25
45-54,Female,Texas,Spanish,Travel,Mobile,Rare,43,34,16,45,Viewed,Messenger,Video,0.2
18-24,Male,California,French,Technology,Tablet,Frequent,46,3.3,10,8,Viewed,Feed,Image,0.63
35-44,Male,Texas,Spanish,Food,Mobile,Frequent,28,9.1,10,13,Clicked,Feed,Video,0.3
55+,Male,Texas,French,Travel,Desktop,Occasional,39,5.4,12,17,Clicked,Feed,Video,0.8
18-24,Female,Illinois,Chinese,Technology,Mobile,Frequent,50,28.7,16,7,Ignored,Feed,Image,0.05
45-54,Female,Florida,Hindi,Fitness,Desktop,Frequent,7,59.7,7,42,Viewed,Messenger,Image,0.26
25-34,Male,New York,Spanish,Travel,Desktop,Frequent,93,100.9,8,32,Ignored,Feed,Image,0.35
35-44,Non-binary,Texas,Hindi,Fitness,Tablet,Frequent,75,24.1,6,36,Clicked,Stories,Image,0.19
45-54,Female,Texas,French,Food,Desktop,Frequent,73,43.1,10,18,Viewed,Feed,Carousel,0.58
25-34,Non-binary,Florida,Hindi,Technology,Mobile,Occasional,69,6.5,11,20,Ignored,Messenger,Image,0.67
35-44,Non-binary,Illinois,Hindi,Gaming,Desktop,Occasional,24,4.8,10,8,Ignored,Stories,Video,1
55+,Female,Florida,French,Food,Desktop,Rare,5,23.7,4,7,Ignored,Messenger,Carousel,0.23
35-44,Female,California,French,Technology,Desktop,Occasional,5,0.1,6,29,Viewed,Feed,Video,0.57
45-54,Female,Texas,Spanish,Technology,Tablet,Occasional,75,4.6,16,31,Clicked,Stories,Video,0.21
25-34,Non-binary,Illinois,French,Gaming,Desktop,Frequent,85,29.7,9,42,Ignored,Stories,Video,0.83
45-54,Female,Texas,Spanish,Technology,Desktop,Frequent,24,32,9,3,Ignored,Messenger,Image,0.69
55+,Female,Illinois,Spanish,Food,Tablet,Occasional,88,42.9,5,45,Ignored,Messenger,Video,0.73
18-24,Female,New York,French,Gaming,Mobile,Frequent,56,94.5,8,10,Viewed,Messenger,Video,0.5
55+,Female,Florida,Hindi,Fitness,Tablet,Frequent,72,24.8,9,1,Viewed,Stories,Image,0.35
18-24,Female,Texas,French,Gaming,Desktop,Occasional,2,40.8,14,26,Viewed,Feed,Image,0.26
45-54,Male,California,English,Technology,Mobile,Frequent,21,17.8,14,31,Clicked,Messenger,Image,0.49
18-24,Female,California,French,Fitness,Mobile,Occasional,54,45.1,11,39,Clicked,Feed,Image,0.18
25-34,Female,California,French,Fitness,Tablet,Frequent,30,3.9,6,9,Ignored,Feed,Carousel,0.76
55+,Female,Illinois,English,Travel,Desktop,Occasional,28,10,9,49,Ignored,Messenger,Image,0.27
35-44,Male,Texas,Spanish,Gaming,Desktop,Occasional,46,13.9,6,45,Viewed,Feed,Video,0.86
25-34,Male,California,Hindi,Travel,Tablet,Frequent,54,50.6,8,18,Viewed,Feed,Image,0.64
55+,Female,California,Hindi,Travel,Mobile,Occasional,43,20.1,6,36,Clicked,Stories,Image,0.48
18-24,Non-binary,Florida,English,Technology,Desktop,Occasional,3,55.5,12,15,Clicked,Feed,Carousel,0.31
18-24,Non-binary,Florida,Hindi,Technology,Tablet,Frequent,39,14.9,9,15,Clicked,Messenger,Video,0.2
35-44,Female,Florida,Hindi,Technology,Desktop,Occasional,89,24.1,10,3,Viewed,Feed,Video,0.31
55+,Non-binary,New York,Chinese,Food,Tablet,Occasional,94,34.1,11,45,Viewed,Stories,Image,0.37
35-44,Non-binary,Florida,Chinese,Food,Mobile,Frequent,22,18.5,15,22,Clicked,Messenger,Video,0.43
18-24,Male,Illinois,English,Fitness,Desktop,Frequent,53,26,8,44,Clicked,Messenger,Video,0.19
25-34,Male,California,French,Fitness,Desktop,Frequent,63,25,4,30,Clicked,Messenger,Carousel,0.1
25-34,Non-binary,Texas,Spanish,Travel,Desktop,Frequent,75,70.7,10,13,Viewed,Stories,Image,0.44
18-24,Male,Texas,Chinese,Fitness,Tablet,Rare,3,100.9,9,6,Ignored,Feed,Carousel,0.62
25-34,Non-binary,Texas,French,Gaming,Mobile,Rare,24,5.5,10,48,Viewed,Feed,Image,0.19
25-34,Non-binary,Texas,English,Food,Desktop,Occasional,81,4.2,8,5,Viewed,Messenger,Carousel,0.64
18-24,Non-binary,California,French,Travel,Desktop,Frequent,78,20,6,14,Ignored,Feed,Image,0.84
45-54,Female,Illinois,French,Food,Mobile,Frequent,41,9.3,11,10,Ignored,Messenger,Video,0.59
45-54,Male,California,French,Travel,Desktop,Rare,40,6,11,13,Viewed,Messenger,Video,0.68
18-24,Male,Illinois,French,Travel,Mobile,Rare,2,43.3,9,28,Viewed,Feed,Image,0.51
25-34,Non-binary,New York,English,Technology,Tablet,Occasional,77,46.5,10,29,Ignored,Stories,Video,0.5
35-44,Female,Florida,French,Gaming,Tablet,Frequent,78,11.4,14,10,Ignored,Feed,Carousel,0.69
35-44,Male,Texas,Hindi,Gaming,Mobile,Frequent,39,21.3,5,42,Ignored,Messenger,Image,0.46
18-24,Female,Illinois,English,Travel,Mobile,Frequent,40,37.7,9,31,Ignored,Feed,Video,0.44
35-44,Male,Florida,English,Travel,Tablet,Rare,38,12.2,9,45,Viewed,Stories,Image,0.34
25-34,Male,Illinois,Hindi,Fitness,Tablet,Frequent,89,8.8,12,6,Ignored,Feed,Image,0.26
45-54,Male,New York,Spanish,Fitness,Mobile,Rare,39,25.5,9,7,Clicked,Messenger,Video,0.58
35-44,Female,Florida,French,Fitness,Desktop,Rare,27,40.7,11,44,Viewed,Stories,Image,0.68
55+,Female,Florida,Hindi,Gaming,Desktop,Frequent,3,46.4,19,23,Clicked,Stories,Video,0.13
45-54,Male,Illinois,Hindi,Fitness,Mobile,Occasional,52,35.2,8,28,Clicked,Messenger,Carousel,0.13
45-54,Non-binary,New York,Chinese,Food,Mobile,Frequent,24,14.5,12,12,Clicked,Messenger,Carousel,0.31
35-44,Female,California,French,Technology,Desktop,Rare,72,20.5,14,31,Ignored,Messenger,Video,0.85
35-44,Non-binary,New York,English,Technology,Tablet,Rare,42,9.4,12,22,Viewed,Feed,Carousel,0.5
25-34,Non-binary,Texas,Chinese,Technology,Mobile,Occasional,72,30.1,10,10,Ignored,Feed,Video,0.66
45-54,Female,Texas,Spanish,Travel,Mobile,Rare,71,11,10,29,Clicked,Messenger,Video,0.32
45-54,Male,New York,Hindi,Technology,Tablet,Rare,42,12.4,10,46,Viewed,Feed,Image,0.25
25-34,Male,Texas,French,Gaming,Mobile,Occasional,3,27.4,7,18,Clicked,Messenger,Video,0.48
35-44,Female,Illinois,Chinese,Travel,Desktop,Frequent,47,9.6,6,14,Viewed,Messenger,Video,0.78
45-54,Female,Florida,French,Technology,Mobile,Rare,15,11.1,16,5,Clicked,Feed,Video,0.91
35-44,Male,Illinois,English,Gaming,Desktop,Occasional,66,40.9,9,47,Viewed,Stories,Carousel,0.78
35-44,Female,California,Spanish,Fitness,Mobile,Occasional,6,2.6,11,39,Ignored,Messenger,Video,0.64
25-34,Non-binary,Illinois,English,Fitness,Tablet,Frequent,14,5.2,11,14,Viewed,Stories,Carousel,0.28
45-54,Non-binary,Texas,French,Gaming,Mobile,Frequent,56,18.4,9,30,Viewed,Messenger,Carousel,0.08
18-24,Female,Florida,English,Food,Desktop,Frequent,91,81.2,8,31,Clicked,Feed,Carousel,0.25
45-54,Non-binary,California,English,Fitness,Desktop,Rare,25,47.1,11,22,Clicked,Feed,Video,0.27
35-44,Non-binary,New York,Chinese,Travel,Mobile,Occasional,29,22.9,10,26,Viewed,Feed,Video,0.4
35-44,Male,California,Chinese,Fitness,Desktop,Frequent,5,25.6,8,24,Ignored,Stories,Image,0.25
18-24,Male,Florida,Hindi,Technology,Mobile,Occasional,21,15.5,11,31,Ignored,Feed,Image,0.27
25-34,Female,Texas,English,Technology,Tablet,Rare,29,30,11,1,Clicked,Feed,Carousel,0.17
25-34,Male,Illinois,Spanish,Food,Desktop,Rare,23,9.1,13,40,Clicked,Messenger,Image,0.49
25-34,Female,Florida,French,Food,Tablet,Frequent,18,32.2,9,13,Clicked,Stories,Image,0.79
55+,Non-binary,Illinois,French,Fitness,Mobile,Rare,2,12.7,8,17,Ignored,Feed,Video,0.73
35-44,Non-binary,Texas,Chinese,Technology,Mobile,Occasional,5,22.5,15,17,Ignored,Feed,Image,1
25-34,Male,Illinois,Chinese,Travel,Mobile,Occasional,14,5.5,11,35,Ignored,Messenger,Carousel,0.65
45-54,Female,Texas,English,Food,Desktop,Rare,50,17.4,10,34,Viewed,Feed,Image,0.84
25-34,Female,Florida,Hindi,Travel,Mobile,Occasional,34,24.2,13,22,Clicked,Feed,Video,0.83
45-54,Female,New York,Chinese,Gaming,Mobile,Occasional,7,2.6,10,34,Clicked,Feed,Image,0.91
35-44,Male,Florida,Hindi,Fitness,Desktop,Rare,5,17.6,10,30,Viewed,Feed,Image,0.51
25-34,Non-binary,New York,Spanish,Travel,Tablet,Frequent,38,9.9,10,2,Viewed,Stories,Carousel,0.77
18-24,Non-binary,California,Spanish,Fitness,Tablet,Frequent,14,24.7,9,40,Ignored,Feed,Carousel,0.22
25-34,Male,New York,English,Food,Tablet,Occasional,13,44.1,13,7,Ignored,Feed,Image,0.08
35-44,Male,Illinois,English,Gaming,Desktop,Rare,17,23.9,17,9,Clicked,Feed,Carousel,0.06
45-54,Male,Florida,Hindi,Fitness,Desktop,Rare,58,13.4,10,38,Clicked,Stories,Video,0.6
25-34,Non-binary,Illinois,English,Fitness,Mobile,Rare,2,14.2,9,25,Ignored,Feed,Video,0.39
25-34,Female,Texas,Hindi,Fitness,Tablet,Frequent,32,23.9,2,34,Clicked,Messenger,Image,0.99
18-24,Non-binary,New York,French,Food,Desktop,Occasional,20,34.6,13,27,Clicked,Stories,Carousel,0.18
35-44,Non-binary,New York,Spanish,Technology,Tablet,Frequent,31,16.8,6,1,Clicked,Messenger,Carousel,0.07
35-44,Non-binary,New York,French,Fitness,Mobile,Rare,26,10.4,6,31,Ignored,Feed,Carousel,0.04
25-34,Male,Florida,French,Gaming,Tablet,Frequent,59,28.8,11,45,Ignored,Messenger,Video,0.98
18-24,Non-binary,California,Chinese,Technology,Tablet,Frequent,52,16.9,7,18,Ignored,Stories,Image,0.56
18-24,Non-binary,Florida,Spanish,Gaming,Desktop,Occasional,13,25.7,13,19,Clicked,Stories,Video,0.99
18-24,Non-binary,Florida,English,Food,Mobile,Frequent,17,5.9,18,27,Viewed,Feed,Video,0.8
25-34,Female,Illinois,French,Travel,Desktop,Frequent,98,14.8,13,43,Clicked,Feed,Carousel,0.09
18-24,Non-binary,Illinois,Hindi,Food,Tablet,Occasional,58,59.1,14,1,Clicked,Messenger,Video,0.3
35-44,Female,Illinois,Hindi,Technology,Desktop,Occasional,14,28,16,27,Viewed,Messenger,Video,0.76
18-24,Male,California,Chinese,Technology,Desktop,Frequent,25,133.6,12,7,Viewed,Feed,Image,0.59
55+,Female,Florida,Chinese,Technology,Tablet,Rare,45,24,13,40,Viewed,Stories,Carousel,0.95
55+,Female,Illinois,French,Travel,Tablet,Occasional,17,123.2,4,9,Ignored,Messenger,Video,0.34
55+,Male,California,French,Gaming,Tablet,Occasional,29,10.3,13,5,Viewed,Stories,Image,0.76
35-44,Female,Florida,English,Technology,Tablet,Frequent,19,36.1,13,32,Viewed,Messenger,Video,0.25
18-24,Male,Florida,Chinese,Gaming,Mobile,Frequent,18,27.3,13,32,Ignored,Messenger,Carousel,0.19
25-34,Male,California,English,Gaming,Mobile,Occasional,85,35.1,9,15,Ignored,Messenger,Video,0.94
55+,Male,Texas,Hindi,Travel,Mobile,Frequent,95,18.3,10,35,Viewed,Feed,Image,0.72
18-24,Non-binary,Florida,Chinese,Food,Tablet,Rare,43,23.6,9,34,Clicked,Messenger,Video,0.07
35-44,Male,Florida,Spanish,Food,Desktop,Occasional,73,3.3,10,21,Viewed,Feed,Video,0.82
35-44,Female,Illinois,Chinese,Gaming,Tablet,Rare,23,58.1,6,38,Viewed,Stories,Video,0.55
55+,Female,Florida,Chinese,Fitness,Mobile,Rare,27,23.3,14,5,Ignored,Feed,Video,0.6
18-24,Non-binary,California,French,Travel,Tablet,Rare,75,70.9,8,15,Ignored,Feed,Video,0.45
35-44,Male,Illinois,French,Fitness,Mobile,Frequent,80,4.5,9,14,Clicked,Messenger,Carousel,0.44
55+,Male,Texas,French,Technology,Desktop,Frequent,77,44,9,15,Ignored,Feed,Carousel,0.94
18-24,Female,Texas,Spanish,Technology,Tablet,Frequent,37,7.6,5,1,Clicked,Feed,Image,0.74
35-44,Male,Florida,French,Fitness,Mobile,Frequent,80,63.6,8,29,Ignored,Feed,Image,0.42
35-44,Female,California,Spanish,Technology,Desktop,Frequent,60,18.5,7,25,Clicked,Messenger,Image,0.21
25-34,Female,California,French,Fitness,Tablet,Frequent,74,46.4,12,32,Viewed,Stories,Video,0.2
55+,Non-binary,Florida,Chinese,Food,Mobile,Frequent,16,20.7,9,13,Viewed,Feed,Video,0.9
35-44,Non-binary,Florida,Spanish,Fitness,Tablet,Occasional,87,7.5,16,21,Clicked,Feed,Video,0.77
35-44,Male,Florida,Chinese,Food,Mobile,Occasional,4,74.4,14,23,Ignored,Stories,Carousel,0.62
35-44,Female,New York,Chinese,Technology,Tablet,Occasional,27,12.4,7,44,Viewed,Messenger,Carousel,0.42
45-54,Non-binary,California,Spanish,Food,Tablet,Frequent,40,0,8,10,Clicked,Feed,Video,0.47
55+,Female,Illinois,Chinese,Technology,Desktop,Occasional,11,19.2,15,37,Viewed,Messenger,Image,0.81
45-54,Female,California,Hindi,Fitness,Desktop,Occasional,92,54,10,39,Viewed,Messenger,Video,0.58
25-34,Male,Texas,English,Food,Tablet,Frequent,33,17.6,9,31,Viewed,Stories,Video,0.61
18-24,Male,Illinois,Chinese,Food,Desktop,Frequent,95,11.1,12,26,Ignored,Feed,Carousel,0.72
55+,Male,New York,English,Fitness,Mobile,Frequent,30,17,6,27,Viewed,Messenger,Image,0.87
35-44,Female,Texas,French,Food,Mobile,Occasional,34,26.2,9,26,Clicked,Stories,Video,0.24
55+,Male,Illinois,Hindi,Travel,Mobile,Rare,81,10.7,9,16,Ignored,Messenger,Image,0.68
45-54,Male,Texas,French,Travel,Mobile,Frequent,32,18,11,27,Clicked,Messenger,Image,0.67
35-44,Female,Illinois,Hindi,Travel,Tablet,Occasional,77,3.8,10,4,Viewed,Stories,Video,0.39
55+,Female,Texas,Chinese,Technology,Tablet,Occasional,96,2.4,13,14,Clicked,Feed,Carousel,0.47
45-54,Non-binary,Texas,Spanish,Fitness,Mobile,Rare,4,0.5,10,44,Ignored,Feed,Image,0.84
55+,Female,California,Spanish,Technology,Tablet,Occasional,25,0.5,8,25,Ignored,Feed,Image,0.07
55+,Non-binary,Texas,Chinese,Technology,Desktop,Occasional,93,135.5,15,12,Viewed,Messenger,Image,0.34
25-34,Non-binary,California,English,Gaming,Desktop,Occasional,2,91.9,10,39,Viewed,Feed,Video,0.24
18-24,Female,New York,Hindi,Food,Mobile,Occasional,83,12.6,8,43,Ignored,Stories,Image,0.92
35-44,Male,Texas,Chinese,Gaming,Tablet,Frequent,30,2.9,9,11,Ignored,Stories,Image,0.94
45-54,Non-binary,California,French,Food,Tablet,Occasional,98,17.8,7,49,Ignored,Messenger,Carousel,0.82
45-54,Female,Texas,Chinese,Technology,Tablet,Rare,95,42.5,11,10,Clicked,Feed,Carousel,0.82
55+,Female,California,Chinese,Technology,Mobile,Occasional,58,62.3,10,30,Clicked,Feed,Carousel,0.78
45-54,Non-binary,Illinois,Chinese,Fitness,Mobile,Rare,79,90.6,3,43,Ignored,Messenger,Carousel,0.29
25-34,Male,Florida,French,Fitness,Tablet,Frequent,44,26.4,13,18,Clicked,Messenger,Video,0.62
25-34,Female,New York,Spanish,Travel,Desktop,Occasional,96,3.7,8,14,Ignored,Messenger,Carousel,0.82
35-44,Female,Illinois,Spanish,Fitness,Desktop,Rare,46,18.9,11,26,Clicked,Feed,Carousel,0.37
35-44,Male,Illinois,French,Gaming,Tablet,Rare,88,47.1,11,27,Clicked,Feed,Video,0.11
25-34,Male,New York,French,Food,Mobile,Frequent,16,1.7,21,38,Ignored,Messenger,Carousel,0.95
35-44,Male,California,French,Technology,Desktop,Frequent,19,9.7,10,45,Viewed,Stories,Video,0.23
55+,Non-binary,Florida,Hindi,Travel,Tablet,Occasional,81,5,9,40,Ignored,Feed,Video,0.93
35-44,Male,New York,Spanish,Fitness,Tablet,Occasional,23,9,10,8,Ignored,Messenger,Carousel,0.63
45-54,Male,Texas,French,Technology,Desktop,Rare,54,16.8,4,38,Ignored,Messenger,Carousel,0.57
18-24,Female,Texas,French,Technology,Desktop,Frequent,12,0.5,7,49,Viewed,Feed,Video,0.41
45-54,Male,Texas,French,Travel,Tablet,Occasional,36,10.8,10,8,Viewed,Stories,Video,0.05
55+,Non-binary,Texas,French,Travel,Desktop,Frequent,20,86.6,19,15,Ignored,Messenger,Video,0.23
35-44,Male,Florida,English,Food,Mobile,Frequent,33,11.5,9,41,Ignored,Stories,Video,0.7
18-24,Female,Texas,French,Food,Mobile,Occasional,74,24.4,10,21,Ignored,Stories,Video,0.16
18-24,Male,California,Hindi,Travel,Tablet,Occasional,49,33.1,22,26,Viewed,Feed,Video,0.21
45-54,Female,California,Chinese,Travel,Desktop,Rare,57,25.2,5,3,Ignored,Stories,Image,0.67
25-34,Non-binary,Illinois,Spanish,Technology,Desktop,Occasional,33,10.5,9,8,Clicked,Stories,Image,0.64
18-24,Non-binary,Florida,French,Food,Mobile,Occasional,25,2.8,12,7,Clicked,Stories,Carousel,0.46
55+,Female,California,Spanish,Travel,Tablet,Rare,37,63.7,9,35,Viewed,Feed,Video,0.99
25-34,Male,Illinois,English,Travel,Desktop,Frequent,51,7.5,11,1,Ignored,Feed,Video,0.1
55+,Non-binary,New York,Hindi,Travel,Tablet,Frequent,89,28.3,13,19,Clicked,Stories,Image,0.08
55+,Male,Texas,English,Technology,Desktop,Frequent,49,4.5,9,49,Viewed,Messenger,Video,0.15
25-34,Female,New York,Spanish,Gaming,Desktop,Frequent,27,29.3,13,28,Viewed,Feed,Image,0.64
45-54,Female,California,Hindi,Travel,Desktop,Frequent,74,12.4,7,40,Clicked,Stories,Image,0.19
55+,Female,New York,Chinese,Technology,Desktop,Frequent,33,19,14,35,Ignored,Messenger,Image,0.07
45-54,Male,Illinois,French,Gaming,Tablet,Occasional,82,41.6,10,9,Viewed,Messenger,Video,0.76
45-54,Female,Illinois,Hindi,Technology,Desktop,Frequent,87,42.9,10,22,Clicked,Feed,Video,0.84
18-24,Female,Texas,Hindi,Fitness,Desktop,Occasional,63,61.7,9,36,Viewed,Stories,Image,0.97
45-54,Male,Texas,English,Gaming,Tablet,Occasional,96,63,18,16,Ignored,Feed,Video,0.82
55+,Female,Florida,Chinese,Food,Tablet,Rare,68,47.7,6,29,Clicked,Messenger,Video,0.25
